smile,leniency,with_smile
false smile,2.5,yes
false smile,5.5,yes
false smile,6.5,yes
false smile,3.5,yes
false smile,3,yes
false smile,3.5,yes
false smile,6,yes
false smile,5,yes
false smile,4,yes
false smile,4.5,yes
false smile,5,yes
false smile,5.5,yes
false smile,3.5,yes
false smile,6,yes
false smile,6.5,yes
false smile,3,yes
false smile,8,yes
false smile,6.5,yes
false smile,8,yes
false smile,6,yes
false smile,6,yes
false smile,3,yes
false smile,7,yes
false smile,8,yes
false smile,4,yes
false smile,3,yes
false smile,2.5,yes
false smile,8,yes
false smile,4.5,yes
false smile,5.5,yes
false smile,7.5,yes
false smile,6,yes
false smile,9,yes
false smile,6.5,yes
felt smile,7,yes
felt smile,3,yes
felt smile,6,yes
felt smile,4.5,yes
felt smile,3.5,yes
felt smile,4,yes
felt smile,3,yes
felt smile,3,yes
felt smile,3.5,yes
felt smile,4.5,yes
felt smile,7,yes
felt smile,5,yes
felt smile,5,yes
felt smile,7.5,yes
felt smile,2.5,yes
felt smile,5,yes
felt smile,5.5,yes
felt smile,5.5,yes
felt smile,5,yes
felt smile,4,yes
felt smile,5,yes
felt smile,6.5,yes
felt smile,6.5,yes
felt smile,7,yes
felt smile,3.5,yes
felt smile,5,yes
felt smile,3.5,yes
felt smile,9,yes
felt smile,2.5,yes
felt smile,8.5,yes
felt smile,3.5,yes
felt smile,4.5,yes
felt smile,3.5,yes
felt smile,4.5,yes
miserable smile,5.5,yes
miserable smile,4,yes
miserable smile,4,yes
miserable smile,5,yes
miserable smile,6,yes
miserable smile,3.5,yes
miserable smile,3.5,yes
miserable smile,3.5,yes
miserable smile,4,yes
miserable smile,5.5,yes
miserable smile,5.5,yes
miserable smile,4.5,yes
miserable smile,2.5,yes
miserable smile,5.5,yes
miserable smile,4.5,yes
miserable smile,3,yes
miserable smile,3.5,yes
miserable smile,8,yes
miserable smile,5,yes
miserable smile,7.5,yes
miserable smile,8,yes
miserable smile,4,yes
miserable smile,5.5,yes
miserable smile,6.5,yes
miserable smile,5,yes
miserable smile,4,yes
miserable smile,3,yes
miserable smile,5,yes
miserable smile,4,yes
miserable smile,4,yes
miserable smile,6,yes
miserable smile,8,yes
miserable smile,4.5,yes
miserable smile,5.5,yes
no smile (control),2,no
no smile (control),4,no
no smile (control),4,no
no smile (control),3,no
no smile (control),6,no
no smile (control),4.5,no
no smile (control),2,no
no smile (control),6,no
no smile (control),3,no
no smile (control),3,no
no smile (control),4.5,no
no smile (control),8,no
no smile (control),4,no
no smile (control),5,no
no smile (control),3.5,no
no smile (control),4.5,no
no smile (control),6.5,no
no smile (control),3.5,no
no smile (control),4.5,no
no smile (control),4.5,no
no smile (control),2.5,no
no smile (control),2.5,no
no smile (control),4.5,no
no smile (control),2.5,no
no smile (control),6,no
no smile (control),6,no
no smile (control),2,no
no smile (control),4,no
no smile (control),5.5,no
no smile (control),4,no
no smile (control),2.5,no
no smile (control),2.5,no
no smile (control),3,no
no smile (control),6.5,no
