site,time
g1,1.600459
g1,1.4718
g1,1.398192
g1,1.38036
g1,1.386828
g1,1.529101
g1,1.393405
g1,1.357071
g1,1.402241
g1,1.421621
g1,1.573213
g1,1.380397
g1,1.402299
g1,1.386149
g1,1.417837
g1,1.375893
g1,1.394178
g1,1.402778
g1,1.383981
g1,1.682404
g1,1.507866
g1,1.403475
g1,1.512021
g1,1.500433
g1,1.404567
g1,1.466199
g1,1.478514
g1,1.492042
g1,1.363138
g1,1.439215
folha,0.544455
folha,0.362596
folha,0.371638
folha,0.358026
folha,0.360715
folha,0.367508
folha,0.366077
folha,0.382203
folha,0.376996
folha,0.369296
folha,0.382524
folha,0.375177
folha,0.374427
folha,0.383021
folha,0.360536
folha,0.372263
folha,0.374626
folha,0.379814
folha,0.43506
folha,0.35974
folha,0.369405
folha,0.378738
folha,0.377006
folha,0.361687
folha,0.364524
folha,0.372736
folha,0.368706
folha,0.362343
folha,0.388485
folha,0.374445
terra,0.881477
terra,0.653619
terra,0.64189
terra,0.690397
terra,0.648463
terra,0.681747
terra,0.638187
terra,0.691904
terra,0.797606
terra,0.684577
terra,0.690652
terra,0.637121
terra,0.638328
terra,0.648329
terra,0.653689
terra,0.653745
terra,0.6633
terra,0.712261
terra,0.633346
terra,0.637157
terra,0.629945
terra,0.669479
terra,0.640896
terra,0.646957
terra,0.675664
terra,0.686752
terra,0.652643
terra,0.647914
terra,0.653446
terra,0.68845
uol,0.457135
uol,0.34421
uol,0.360045
uol,0.352065
uol,0.363843
uol,0.362354
uol,0.353114
uol,0.347752
uol,0.361169
uol,0.348778
uol,0.359532
uol,0.343423
uol,0.352889
uol,0.347372
uol,0.351373
uol,0.350264
uol,0.358899
uol,0.346259
uol,0.350225
uol,0.345143
uol,0.353029
uol,0.349795
uol,0.357711
uol,0.342189
uol,0.355559
uol,0.344001
uol,0.361895
uol,0.349044
uol,0.356273
uol,0.343475
