math_SAT,verb_SAT,comp_GPA,univ_GPA
643,589,3.76,3.52
558,512,2.87,2.91
583,503,2.54,2.4
685,602,3.83,3.47
592,538,3.29,3.47
562,486,2.64,2.37
573,548,2.86,2.4
559,536,2.03,2.24
552,583,2.81,3.02
617,591,3.41,3.32
684,649,3.61,3.59
568,592,2.48,2.54
604,582,3.21,3.19
619,624,3.52,3.71
642,619,3.41,3.58
683,642,3.52,3.4
703,684,3.84,3.73
712,652,3.64,3.49
564,501,2.14,2.25
557,549,2.21,2.37
591,584,3.17,3.29
599,562,3.01,3.19
607,619,3.17,3.28
619,558,3.01,3.37
700,721,3.72,3.61
718,732,3.78,3.81
580,538,2.51,2.4
562,507,2.1,2.21
683,648,3.21,3.58
717,724,3.68,3.51
701,714,3.48,3.62
691,684,3.71,3.6
714,706,3.81,3.65
689,673,3.84,3.76
554,507,2.09,2.27
564,543,2.17,2.35
668,604,2.98,3.17
691,662,3.28,3.47
573,591,2.74,3
568,517,2.19,2.74
607,624,3.28,3.37
651,683,3.68,3.54
604,583,3.17,3.28
560,542,3.17,3.39
604,617,3.31,3.28
574,548,3.07,3.19
564,500,2.38,2.52
607,528,2.94,3.08
619,573,2.84,3.01
647,608,3.17,3.42
651,683,3.72,3.6
571,543,2.17,2.4
583,510,2.42,2.83
554,538,2.49,2.38
568,519,3.38,3.21
574,602,2.07,2.24
605,619,3.22,3.4
591,584,2.71,3.07
642,608,3.31,3.52
608,573,3.28,3.47
574,538,3.19,3.08
643,607,3.24,3.38
608,649,3.53,3.41
709,688,3.72,3.64
691,645,3.98,3.71
667,583,3.09,3.01
656,609,3.42,3.37
554,542,2.07,2.34
692,563,3.17,3.29
684,672,3.51,3.4
717,649,3.49,3.38
712,708,3.51,3.28
641,608,3.4,3.31
675,632,3.38,3.42
692,698,3.54,3.39
684,609,3.48,3.51
564,591,3.09,3.17
554,509,3.14,3.2
685,694,3.28,3.41
671,609,3.41,3.29
571,503,3.02,3.17
582,591,2.97,3.12
621,589,4,3.71
651,642,3.34,3.5
673,681,3.28,3.34
651,640,3.32,3.48
672,607,3.51,3.44
591,587,3.68,3.59
582,612,3.07,3.28
609,555,2.78,3
554,480,3.68,3.42
612,590,3.3,3.41
628,580,3.34,3.49
567,602,3.17,3.28
619,623,3.07,3.17
691,683,3.19,3.24
564,549,2.15,2.34
650,684,3.11,3.28
551,554,2.17,2.29
568,541,2.14,2.08
605,590,3.74,3.64
692,683,3.27,3.42
680,692,3.19,3.25
617,503,2.98,2.76
516,528,3.28,3.41
